Funeral Home,Address
Funeraria Baquiran & Crematory Services,"Vigan City, Ilocos Sur"
Holy Angel Gabriel Funeral Homes,"Vigan City, Ilocos Sur"
Baquiran Funeral Home Magsingal Branch,"Magsingal, Ilocos Sur"
Funeraria Baquiran & Crematory Services,"Santo Domingo, Ilocos Sur"
Funeraria Rosal,"Santa Lucia, Ilocos Sur"
Holy Angel Gabriel Funeral Homes,"Bantay, Ilocos Sur"
St. Peter Chapels - Vigan,"Vigan City, Ilocos Sur"
Pineda Funeral Services,"Bantay, Ilocos Sur"
St. Joseph & Mary Funeral Services,"Magsingal, Ilocos Sur"
St. John Michael Funeral Services,"Magsingal, Ilocos Sur"
Baquiran Funeral Homes,"Santo Domingo, Ilocos Sur"
St. Stephen Funeral Homes,"San Esteban, Ilocos Sur"
William CABANILLA FUNERAL SERVICE CHAPEL,"Narvacan, Ilocos Sur"
Myrene V. Dizon Funeral Parlor,"Santa Maria, Ilocos Sur"
Raciles Funeral Services,"Santa Cruz, Ilocos Sur"
Jolly Funeral Home,"Narvacan, Ilocos Sur"
Begonia Funeral Home,"Santa, Ilocos Sur"
San Nicolas Memorial Chapel,"Cabugao, Ilocos Sur"
St. Peter Chapels - Candon,"Candon City, Ilocos Sur "
BF Funeral Homes ,"San Juan,Ilocos Sur "
Rain Funeral Homes,"Sinait, Ilocos Sur "
Velasco Funeral Homes,"Santa Lucia, Ilocos Sur"
Funeraria De Vera,"Santa Maria, Ilocos Sur"
Acosta Funeral Homes ,"Santa Lucia, Ilocos Sur"
Funeraria Rosal ,"Cervanted , Ilocos Sur "
Lucero-Almario Funeral Service ,"Tagudin, Ilocos Sur "
